"Issue Type","Issue id","Epic Name","Epic Link","Summary","Description","Priority","Component/s","Labels","Story Points","Acceptance Criteria"
"Epic","1","Workflow Automation & Exceptions",,"EPIC: Workflow Automation & Exception Handling","Comprehensive enhancements to core attendance lifecycle including emergency amendment and standardized reason taxonomy.","High","Workflow","workflow,commercial-ready",13,"All workflow sub-tasks implemented with 100% test coverage"
"Epic","2","Teacher & Admin UI/UX Streamlining",,"EPIC: Teacher & Admin UI/UX Streamlining","UI/UX productivity upgrades including 1-click bulk roll-call, interactive confirmation modals, and Khmer/English localization.","High","UX-UI","ux-ui,frontend",8,"Seamless usability on desktop and mobile with KH/EN locale switching"
"Epic","3","Advanced Analytics & Multi-Format Reporting",,"EPIC: Advanced Analytics & Multi-Format Reporting","Multi-dimensional reporting across custom date ranges (weekly, monthly, semester), class/student filters, and Excel/PDF generation.","High","Reporting","reporting,analytics",8,"Instant report downloads in CSV, XLSX, and printable PDF"
"Epic","4","Performance, Redis Caching & Queue Architecture",,"EPIC: Performance, Redis Caching & Queue Architecture","Backend query optimization, N+1 elimination, composite database indexing, and asynchronous Redis queue worker for audit logging.","High","Backend-Performance","performance,redis,database",8,"Response times under 50ms for 500+ concurrent requests"
"Epic","5","Enterprise Security, RBAC & Multi-Tenant Governance",,"EPIC: Enterprise Security, RBAC & Multi-Tenant Governance","Hardening of authentication, two-factor authentication (2FA), password rotation, secure evidence file uploads, and session timeouts.","Medium","Security","security,rbac",5,"Meets enterprise data privacy and security audit standards"
"Epic","6","Omnichannel Parent Notifications & Mobile API",,"EPIC: Omnichannel Parent Notifications & Mobile API","Automated instant alerts via Telegram Bot / SMS when a student is absent or late, plus Laravel Sanctum REST API for mobile apps.","Medium","Notifications","notifications,api,mobile",13,"Real-time parent dispatch within 10 seconds of attendance submit"
"Story","7",,"Workflow Automation & Exceptions","Admin Attendance Session Reopen & Amendment Workflow","Enable school administrators to reopen or amend a submitted attendance session with mandatory audit reason logging when a teacher makes an erroneous mark.","High","Workflow","workflow,admin,audit",5,"GIVEN a submitted attendance session, WHEN an admin clicks 'Reopen Session' with a valid reason, THEN the session status reverts to 'open', teacher is notified, and an audit log is recorded."
"Story","8",,"Workflow Automation & Exceptions","Structured Absence Taxonomy with Detail Description Input","Implement categorized absence reason selection (Medical, Family Emergency, Official Representation, Bereavement, Unexcused) combined with a mandatory detail description text input.","High","Workflow","workflow,rules",3,"GIVEN an absence or permission form, WHEN user selects an absence category, THEN category is recorded along with free-text detailed explanation and optional evidence."
"Story","9",,"Teacher & Admin UI/UX Streamlining","Teacher 1-Click 'Mark All Present' & Quick Toggle Shortcuts","Add a top-level bulk action button in the teacher roll-call interface allowing 1-click marking of all unlocked students as 'Present', with keyboard shortcuts (P for Present, A for Absent).","Highest","UX-UI","teacher,productivity,ux",3,"GIVEN an open attendance session with 40 students, WHEN teacher clicks 'Mark All Present', THEN all unlocked radio buttons switch to 'Present' in 1 click without affecting locked permission rows."
"Story","10",,"Teacher & Admin UI/UX Streamlining","Interactive Confirmation Modal for Attendance Submission","Replace native browser confirm alerts with a dedicated interactive confirmation modal that requires explicit teacher verification before freezing marks.","High","UX-UI","ux-ui,modal",3,"GIVEN a teacher clicking 'Submit Attendance', WHEN the action triggers, THEN an interactive modal displays requiring explicit confirmation, with no auto-dismiss."
"Story","11",,"Teacher & Admin UI/UX Streamlining","Complete Khmer (KH) & English (EN) Localization Wiring","Wire the topbar language pill (KH | EN) to active session locale switching using Laravel translation files (lang/km.json and lang/en.json) across all views.","High","UX-UI","localization,i18n",5,"GIVEN any user clicking 'KH' or 'EN' on the topbar pill, WHEN switched, THEN the application updates the session locale and displays translated UI strings."
"Story","12",,"Teacher & Admin UI/UX Streamlining","Inner View Vector Iconography Standardization","Standardize all child views to pure Font Awesome 6 vector icons, removing all residual emojis from badges, table cells, and buttons.","Medium","UX-UI","icons,vector",2,"GIVEN any view in the system, WHEN inspected, THEN zero cartoon emojis are rendered, all icons use Font Awesome 6 classes."
"Story","13",,"Advanced Analytics & Multi-Format Reporting","Custom Date Range & Multi-Filter Report Generator","Upgrade the reports module to support filtering by date range (From Date - To Date, Weekly, Monthly, Semester), Class, and Status.","High","Reporting","reports,filters",5,"GIVEN the admin reports dashboard, WHEN filtering by Date Range (e.g. Month of October) and Class (10A), THEN the summary metrics and detailed table reflect the scoped data."
"Story","14",,"Advanced Analytics & Multi-Format Reporting","Multi-Format Export: Excel (XLSX) & Printable PDF","Provide export options for Excel (.xlsx) with styled headers and formula totals, as well as formal printable PDF reports suitable for ministry/board submissions.","Medium","Reporting","export,excel,pdf",3,"GIVEN any filtered report view, WHEN clicking 'Export Excel' or 'Export PDF', THEN a formatted document downloads with school branding and term headers."
"Story","15",,"Performance, Redis Caching & Queue Architecture","Eliminate Teacher Dashboard N+1 Query Inefficiency","Refactor DashboardController::index for teachers to eager load today's attendance sessions and student counts using withCount and single-query grouping.","High","Backend-Performance","performance,n1-query",2,"GIVEN a teacher with 10 classes, WHEN loading the dashboard, THEN database query count remains constant at <= 4 queries instead of 24 queries."
"Story","16",,"Performance, Redis Caching & Queue Architecture","Composite Database Indexing on Attendances Table","Add composite database indexes on attendances table for ['final_status', 'finalized_at'] and ['attendance_session_id', 'status'] to optimize large reporting queries.","High","Backend-Performance","database,indexes,sql",2,"GIVEN a database with 500,000 attendance records, WHEN querying weekly reports, THEN query execution completes in under 20ms using index scans."
"Story","17",,"Performance, Redis Caching & Queue Architecture","Asynchronous Background Queue for Audit Logging","Decouple AuditService::log from live database transaction commits by dispatching audit records to a Redis/database background queue.","Medium","Backend-Performance","queue,async,audit",3,"GIVEN a user performing any auditable action, WHEN processing completes, THEN audit logs are queued asynchronously without blocking HTTP response."
"Story","18",,"Enterprise Security, RBAC & Multi-Tenant Governance","[ABORTED] Two-Factor Authentication (2FA / TOTP) for Administrators","[ABORTED - Internal System Only] Implement Google Authenticator / TOTP time-based 2FA for Super Admin and Admin accounts. Cancelled as the system is deployed purely within school internal network.","Lowest","Security","security,2fa,auth,aborted",0,"N/A - Task aborted by project owner"
"Story","19",,"Enterprise Security, RBAC & Multi-Tenant Governance","Evidence File Upload Security & Malware / MIME Verification","Implement strict MIME-type validation, size limits (max 5MB), and UUID-obfuscated storage for medical certificates and parent permission documents.","High","Security","security,upload,privacy",3,"GIVEN an evidence upload, WHEN an unpermitted file type (.exe, .html, .svg with scripts) is submitted, THEN it is rejected with a validation error."
"Story","20",,"Enterprise Security, RBAC & Multi-Tenant Governance","30-Minute Inactivity Auto-Timeout & Session Locking (All Users)","Automated session logout after 30 minutes of inactivity for all authenticated users across all portals to safeguard unattended workstations.","Medium","Security","security,session,timeout",2,"GIVEN an active user session, WHEN no user interaction occurs for 30 minutes, THEN the user is automatically logged out with a session expired notification."
"Story","21",,"Omnichannel Parent Notifications & Mobile API","Automated Telegram Bot & SMS Attendance Notifications","Send instant automated Telegram or SMS notifications to parents when their child is recorded Absent or Late by Student Affairs.","High","Notifications","telegram,sms,notifications",5,"GIVEN a student marked Absent upon session submission, WHEN the background job runs, THEN the parent's linked Telegram chat receives a notification within 10 seconds."
"Story","22",,"Omnichannel Parent Notifications & Mobile API","[ABORTED] REST API with Laravel Sanctum for Mobile / Tablet Apps","[ABORTED - Web-Only Architecture] REST API token infrastructure cancelled. Teachers will access the system directly via mobile web browser on smartphones/tablets, eliminating the need for a separate native mobile application.","Lowest","Notifications","api,sanctum,mobile,aborted",0,"N/A - Task aborted by project owner"
"Epic","23","PSIS SIS Data Integration & Sync",,"EPIC: PSIS SIS Data Integration & Synchronization","Student and classroom roster synchronization from PSIS School Management System via offline SQL backup file parsing or local restored database replica without live network dependencies.","High","Integration","integration,psis,sis",8,"Safe idempotent sync of active students, classrooms, and parent contact details without touching live remote database"
"Story","24",,"PSIS SIS Data Integration & Sync","Extend Student & Classroom Schema for PSIS Compatibility","Add student_code, khmer_name, gender, dob, psis_student_id to students table and psis_group_id to classes table with safe indexing for idempotent synchronization.","High","Integration","database,schema,psis",3,"GIVEN existing attendance records, WHEN migration executes, THEN student_code, khmer_name, gender, dob, and psis_id columns are added without data loss or breaking existing relations."
"Story","25",,"PSIS SIS Data Integration & Sync","PSIS SQL Backup Stream Parser & Artisan Command (psis:import)","Implement a memory-efficient stream parser and Artisan command (php artisan psis:import) to import active classes and students from db_psischv SQL backup or local restored MySQL replica.","High","Integration","backend,importer,cli",5,"GIVEN a valid PSIS SQL backup file or local restored MySQL database, WHEN running php artisan psis:import, THEN all active classes and enrolled students for selected academic year are upserted cleanly."
"Story","26",,"PSIS SIS Data Integration & Sync","Admin Web Portal PSIS Backup Upload & Sync UI","Develop an intuitive Admin portal interface to upload new PSIS .sql backups, select academic year (e.g. 2026-2027), trigger synchronization, and view detailed import metrics.","Medium","Integration","admin,ux-ui,sync",3,"GIVEN an administrator with a new PSIS backup file, WHEN uploading via Admin UI and clicking Sync, THEN background job processes the file and displays an import summary."
"Story","27",,"PSIS SIS Data Integration & Sync","Multi-Campus Tenancy & Data Isolation (CHV, KB, KSR, NR3)","Implement multi-campus scoping on classes, students, and staff users across 4 campuses with topbar campus switcher for Super Admins.","High","Multi-Tenant","campus,tenancy,isolation",5,"GIVEN users from different campuses, WHEN accessing students or classes, THEN users only view data for their assigned campus, with Super Admin having cross-campus switching."

